timestamp,V1_equity,V2_equity,V3_equity,SPY_return,QQQ_return
2026-09-21T11:51:25.730855+00:00,9997.8,9998.25,9997.6,0.0,0.0
2026-09-21T18:35:05.457888+00:00,10000.0,10000.0,10000.0,0.0,0.0
2026-09-21T22:33:21.959372+00:00,9997.15,9997.03,9997.03,-0.00030370263205270476,0.001553332839217214
2026-09-22T17:36:04.941089+00:00,10028.6,10025.59,10025.59,-0.0004587881839008823,0.006659272513247272
2026-09-22T21:06:27.494344+00:00,10025.59,10019.27,10019.27,-0.0004587881839008823,0.0096444977547534
2026-09-22T23:45:43.263231+00:00,10025.59,10019.27,10019.27,-0.0004587881839008823,0.0096444977547534
2026-09-23T17:47:47.762813+00:00,10031.0,10025.14,10025.14,-0.006817059158275129,0.000445776267801401
2026-09-23T21:20:56.491047+00:00,10031.73,10025.13,10024.5,-0.007657644936756469,0.0012022026145885878
2026-09-23T23:55:26.323395+00:00,10031.73,10025.13,10024.5,-0.007657644936756469,0.0012022026145885878
2026-09-24T17:49:23.390393+00:00,10009.13,10002.3,9993.02,-0.009143973506402281,-0.0009860336901988953
2026-09-24T21:22:17.720709+00:00,10014.19,10004.73,9995.45,-0.008471883525859814,0.0010535555624624493
