run_date,symbol,sector,expiry,dte,spot,return_1m,return_vs_spy_1m,volume_ratio,atm_iv,put_iv,call_iv,raw_skew,normalized_skew,put_delta,call_delta,put_strike,call_strike,put_oi,call_oi,put_volume,call_volume,put_spread_pct,call_spread_pct,quality_score,quality_label,catalyst_flag,days_to_earnings,quadrant,price_source,options_source,skew_change_5obs,skew_change_20obs,skew_percentile,divergence_score,history_observations,research_state,entry_score,signal_reason,in_portfolio
2026-09-02,PLTR,Technology,2026-10-16,44.0,169.4600067138672,0.0418050098282509,0.0498042368887917,1.0696671963849431,0.4679115981774289,0.4835691566828571,0.458768386903266,0.0248007697795911,0.053003109724557,-0.2598193859984047,0.2714803093823513,155.0,190.0,2208.0,3520.0,662.0,1668.0,0.0307692307692308,0.0481927710843373,86.2,HIGH,False,61.0,HEDGED RALLY,yfinance,yfinance-validated-mid,0.0320209882012881,,,0.0,8,HOLD / WATCH,21.0,rally carries downside hedging; high quote quality; bullish skew fading,False
2026-09-02,NFLX,Communication Services,2026-10-16,44.0,82.7300033569336,0.1245073222795432,0.132506549340084,0.7892411034541167,0.3488247302710738,0.3524023948483448,0.3479810972134189,0.0044212976349258,0.01267483997333,-0.2629362908562548,0.2753150433953294,77.5,90.0,5560.0,29001.0,398.0,4266.0,0.0232558139534883,0.0188087774294671,89.6,HIGH,False,48.0,HEDGED RALLY,yfinance,yfinance-validated-mid,0.0329194512284185,,,0.0,8,HOLD / WATCH,21.0,rally carries downside hedging; high quote quality; bullish skew fading,False
2026-09-02,CRM,Technology,2026-10-16,44.0,256.92999267578125,0.3452536011627964,0.3532528282233372,0.8297028897433334,0.3794835587652005,0.3905896762981427,0.3700801646978937,0.0205095116002489,0.0540458502786913,-0.2722556588136877,0.2852141971897569,240.0,280.0,1024.0,2160.0,546.0,470.0,0.08,0.0909090909090909,75.3,HIGH,False,91.0,HEDGED RALLY,yfinance,yfinance-validated-mid,0.050860967304042,,,0.0,8,HOLD / WATCH,21.0,rally carries downside hedging; high quote quality; bullish skew fading,False
2026-09-02,ORCL,Technology,2026-10-16,44.0,145.75,6.857764827250534e-05,0.0080678047088132,0.9687465171658488,0.6184286258203016,0.6227070490990287,0.6381158532242679,-0.0154088041252391,-0.0249160589951677,-0.2548380774688783,0.2441671063139326,130.0,175.0,8493.0,5038.0,379.0,240.0,0.0185185185185186,0.0714285714285714,86.0,HIGH,True,8.0,CHASE,yfinance,yfinance-validated-mid,-0.025240873855522,,,3.9,8,EVENT RISK,28.0,momentum and calls agree; high quote quality; call-side skew strengthening; history confirmed; earnings in 8d,False
2026-09-02,JPM,Financial Services,2026-10-16,44.0,356.2200012207031,-0.0036361261829168,0.0043631008776239,0.9776727116824296,0.2400452673199383,0.2723755016472866,0.2167397508644677,0.0556357507828188,0.2317719128728588,-0.2273128015212006,0.2245107748244543,335.0,380.0,1136.0,3300.0,148.0,112.0,0.0860215053763439,0.1492537313432835,67.5,MEDIUM,True,41.0,FEAR,yfinance,yfinance-validated-mid,0.0040888948957784,,,0.0,7,DON'T ADD,3.0,price weakness and puts agree; medium quote quality; history mature but skew not yet strengthening,False
2026-09-02,BAC,Financial Services,2026-10-16,44.0,62.59999847412109,-0.00476952375962,0.0032297033009207,0.9651850534552378,0.2440727280548152,0.2712018863158676,0.2128699338367249,0.0583319524791426,0.2389941430328183,-0.2915711849133814,0.1794468277825635,60.0,67.5,12903.0,7892.0,498.0,748.0,0.0616740088105725,0.2068965517241378,47.4,MEDIUM,True,42.0,FEAR,yfinance,yfinance-validated-mid,0.04779587935826,,,0.0,8,DON'T ADD,0.0,price weakness and puts agree; medium quote quality; bullish skew fading,False
2026-09-02,GS,Financial Services,2026-10-16,44.0,1004.4199829101562,-0.0414449792526092,-0.0334457521920684,1.1657220214586992,0.3264235886080132,0.3441603246887259,0.3157911342129058,0.0283691904758201,0.0869091311592906,-0.2562899241670037,0.2326168777726449,940.0,1100.0,197.0,841.0,77.0,82.0,0.1499364675984752,0.165784832451499,39.4,LOW,True,41.0,FEAR,yfinance,yfinance-validated-mid,-0.0394389830199406,,,7.6,8,DON'T ADD,3.0,price weakness and puts agree; call-side skew strengthening; history confirmed,False
2026-09-02,XOM,Energy,2026-10-16,44.0,164.14999389648438,0.0730896029031391,0.0810888299636799,0.7993316113396474,0.2798921317934434,0.2878267226029856,0.278898322152076,0.0089284004509096,0.0318994335199772,-0.2507426125845222,0.2867955058633071,155.0,175.0,2015.0,6848.0,118.0,96.0,0.0735009671179883,0.081180811808118,76.6,HIGH,False,58.0,HEDGED RALLY,yfinance,yfinance-validated-mid,-0.0044388243231794,,,0.6,8,HOLD / WATCH,33.0,rally carries downside hedging; high quote quality; history mature but skew not yet strengthening,False
2026-09-02,CVX,Energy,2026-10-16,44.0,211.77999877929688,0.1219970933132461,0.1299963203737869,0.9565392313548342,0.2545939988575375,0.2562632341657796,0.2620314513028509,-0.0057682171370712,-0.022656532215824,-0.2290722350017706,0.2093515598898371,200.0,230.0,1083.0,1473.0,378.0,432.0,0.0992366412213739,0.11441647597254,69.8,MEDIUM,False,58.0,CHASE,yfinance,yfinance-validated-mid,-0.0188219296166592,,,2.4,8,HOLD / WATCH,48.0,momentum and calls agree; medium quote quality; call-side skew strengthening; history confirmed,False
2026-09-02,LLY,Healthcare,2026-10-16,44.0,1160.0799560546875,0.0412862527917106,0.0492854798522514,0.8785058803207186,0.331071485473478,0.3146167917150068,0.3328204766188366,-0.0182036849038298,-0.0549841520715565,-0.2790758783277888,0.1878206857920182,1100.0,1300.0,507.0,1026.0,37.0,216.0,0.2524271844660194,0.2213740458015267,49.5,MEDIUM,False,57.0,CHASE,yfinance,yfinance-validated-mid,-0.0556166650323496,,,5.0,7,HOLD / WATCH,50.7,momentum and calls agree; medium quote quality; call-side skew strengthening; history confirmed,False
