symbol,spot,return_1m,return_3m,return_6m,volume_ratio,sma50,sma200,above_50d,above_200d,golden_cross,golden_cross_recent,distance_from_52w_high,breakout,technical_score,sector,revenue_growth,earnings_growth,profit_margin,free_cashflow,debt_to_cash,institutional_ownership,analyst_recommendation,analyst_count,sector_5d,rs_percentile,trend_score,trend_reason,trend_state
LIN,477.57000732421875,-0.02237710521553138,-0.056619934159376384,-0.005090569800504596,1.2164645645910743,499.92945739746096,477.2836979675293,False,True,True,False,-0.12347669975857967,False,27.2,,,,,,,,,,,29.447852760736197,14.0,no strong trend confirmations,WEAK / MIXED
O,61.25,-0.013486506120980457,0.01981518060169285,-0.032832093817754204,0.964627548109808,62.85956802368164,60.54395784378052,False,True,True,False,-0.06948031604121141,False,25.3,,,,,,,,,,,26.993865030674847,14.0,no strong trend confirmations,WEAK / MIXED
RTX,200.7899932861328,-0.09761693990228948,0.11308366170172302,-0.03558266786275477,0.6795598468146617,207.208125,191.80561241149903,False,True,True,False,-0.10953927715337275,False,24.0,,,,,,,,,,,26.380368098159508,14.0,no strong trend confirmations,WEAK / MIXED
CL,88.7699966430664,-0.04548390706380212,0.007890038415038214,-0.03982733289079188,1.0367368299962456,91.67136276245117,86.94051456451416,False,True,True,False,-0.09386972031302265,False,25.2,,,,,,,,,,,25.766871165644172,14.0,no strong trend confirmations,WEAK / MIXED
ADBE,266.510009765625,0.024093220744448862,0.059934804239156536,-0.06032714775449066,1.5710190758655624,248.8477981567383,267.93474983215333,True,False,False,False,-0.27472373601737876,False,26.2,,,,,,,,,,,22.699386503067483,14.0,no strong trend confirmations,WEAK / MIXED
DD,131.58999633789062,-0.0824788729996776,-0.05963053355138925,-0.022732323242052765,1.5478623671897433,137.75900848388673,135.55742321014404,False,False,True,False,-0.13819860057286992,False,16.1,,,,,,,,,,,28.22085889570552,12.0,no strong trend confirmations,WEAK / MIXED
LMT,525.280029296875,-0.09319890857503632,0.00910531740921905,-0.20807863609201693,0.9541770526283857,551.7799334716797,549.9937315368652,False,False,True,True,-0.21384803026006938,False,5.7,,,,,,,,,,,5.521472392638037,11.0,recent golden cross,WEAK / MIXED
SNAP,5.46999979019165,0.04789272223147378,-0.05034729638309099,0.06007751006717865,0.540395661801611,5.0017999744415285,5.838799995183945,True,False,False,False,-0.3982398571649791,False,27.0,,,,,,,,,,,36.809815950920246,8.0,no strong trend confirmations,WEAK / MIXED
ORCL,158.77999877929688,0.10671218671729177,-0.2543410755947145,0.045298555028119525,1.172497041042121,139.74876022338867,167.91714557647705,True,False,False,False,-0.5108892393062489,False,28.9,,,,,,,,,,,34.96932515337423,8.0,no strong trend confirmations,WEAK / MIXED
UBER,75.76000213623047,0.07506741626071123,0.07141851388973852,0.00838553049173485,0.8772367213954154,74.08960006713868,76.32180011749267,True,False,False,False,-0.2431568102789058,False,26.2,,,,,,,,,,,30.67484662576687,8.0,no strong trend confirmations,WEAK / MIXED
META,616.77001953125,0.04555008307361397,0.04104828038648711,-0.04185369029352004,1.0109630328573924,595.4915954589844,621.6066772460938,True,False,False,False,-0.20693173850524427,False,24.4,,,,,,,,,,,23.92638036809816,8.0,no strong trend confirmations,WEAK / MIXED
MP,54.529998779296875,0.14824166881472656,-0.07857386789287035,-0.06354114360340513,1.1212572856683756,51.380400009155274,57.65024995803833,True,False,False,False,-0.4472377299964664,False,24.2,,,,,,,,,,,22.085889570552148,8.0,no strong trend confirmations,WEAK / MIXED
COIN,184.63999938964844,0.26978883666558584,0.2115486009472063,-0.06378664310511173,0.8169597313818892,163.14739959716798,192.7604997253418,True,False,False,False,-0.5232266774404508,False,22.8,,,,,,,,,,,21.472392638036812,8.0,no strong trend confirmations,WEAK / MIXED
TMUS,181.52000427246094,0.014433735007567616,0.025084997962944167,-0.17155649405452378,1.1643737469840478,180.50309478759766,192.44368698120118,True,False,False,False,-0.2666773475137503,False,19.2,,,,,,,,,,,7.361963190184049,8.0,no strong trend confirmations,WEAK / MIXED
NFLX,78.25,0.06188081703782777,-0.04782185800172434,-0.20975557813776968,1.4688803023973396,75.44019958496094,86.8834997177124,True,False,False,False,-0.3805659854315251,False,19.2,,,,,,,,,,,3.6809815950920246,8.0,no strong trend confirmations,WEAK / MIXED
AXP,326.1600036621094,-0.04798599576334783,0.05276776790038773,0.08998929552390544,0.8949845225759185,341.36653686523437,335.78472091674803,False,False,True,False,-0.14568946760160373,False,18.4,,,,,,,,,,,42.331288343558285,6.0,no strong trend confirmations,WEAK / MIXED
AVGO,357.8999938964844,-0.14901208440054514,-0.0706804511194783,0.08695950775500161,1.453451746112488,383.66159973144534,369.0301217651367,False,False,True,False,-0.2556296667673956,False,20.2,,,,,,,,,,,41.104294478527606,6.0,no strong trend confirmations,WEAK / MIXED
JD,28.260000228881836,-0.13867726162648408,-0.021468107683570548,0.08277792081117408,0.5611022031778071,29.471200218200682,28.65920618057251,False,False,True,False,-0.19083527518433474,False,16.4,,,,,,,,,,,40.49079754601227,6.0,no strong trend confirmations,WEAK / MIXED
PINS,20.399999618530273,-0.12558938340152126,-0.047619068820290655,0.019490224147300284,0.9966508208201582,22.896599960327148,21.926500005722048,False,False,True,False,-0.4624506137440675,False,15.4,,,,,,,,,,,32.515337423312886,6.0,no strong trend confirmations,WEAK / MIXED
AIG,76.20999908447266,-0.04701765760705101,0.016246416583225676,-0.019703292586907506,0.972194234233117,77.88459976196289,76.79070102691651,False,False,True,False,-0.10880051061311935,False,14.0,,,,,,,,,,,28.834355828220858,6.0,no strong trend confirmations,WEAK / MIXED
AEP,124.5,0.0014998134899257831,-0.028590117045669272,-0.041791679995941355,0.9810369618013095,128.67841064453125,125.24638694763183,False,False,True,False,-0.09548006759262306,False,12.5,,,,,,,,,,,24.539877300613497,6.0,no strong trend confirmations,WEAK / MIXED
DUK,120.22000122070312,-0.021170333579695,-0.023691842661079043,-0.07679257772325654,0.7687681499726852,123.99372924804688,122.33799781799317,False,False,True,False,-0.08343337104500093,False,10.2,,,,,,,,,,,20.245398773006134,6.0,no strong trend confirmations,WEAK / MIXED
SO,88.11000061035156,-0.043729304959639004,-0.0406312015243232,-0.08111298055616245,1.3169460563570052,92.84135726928712,91.04056228637695,False,False,True,False,-0.0962253673320731,False,11.5,,,,,,,,,,,17.791411042944784,6.0,no strong trend confirmations,WEAK / MIXED
EXC,43.63999938964844,-0.027901027776965792,-0.037037716674560905,-0.09907135542699785,1.3231482162210875,45.36317825317383,45.09055332183838,False,False,True,False,-0.11573195865291852,False,10.4,,,,,,,,,,,14.723926380368098,6.0,no strong trend confirmations,WEAK / MIXED
WM,218.99000549316406,-0.043753500956364544,-0.006397406725803023,-0.10256642584577458,1.2443350930658743,228.33420104980468,224.16170219421386,False,False,True,False,-0.10424104809271584,False,9.9,,,,,,,,,,,14.11042944785276,6.0,no strong trend confirmations,WEAK / MIXED
TSLA,354.0799865722656,0.10812752456720931,-0.09442458677169918,-0.10750390248529063,1.7673951593126982,357.9477984619141,399.55844970703123,False,False,False,False,-0.27721078010324696,False,11.6,,,,,,,,,,,12.883435582822086,6.0,no strong trend confirmations,WEAK / MIXED
HON,209.61000061035156,-0.12669712196595295,-0.06312646209583994,-0.14333580535533264,0.9385505562676415,228.43486694335937,227.9779842376709,False,False,True,False,-0.18737098768521365,False,7.2,,,,,,,,,,,9.815950920245399,6.0,no strong trend confirmations,WEAK / MIXED
PCG,14.300000190734863,-0.15882351819206686,-0.1618004637683882,-0.2088704781724745,0.9890798802625378,17.088991947174073,16.699891262054443,False,False,True,False,-0.24737128206466685,False,5.7,,,,,,,,,,,4.9079754601226995,6.0,no strong trend confirmations,WEAK / MIXED
NEE,83.43000030517578,-0.006413907123506535,-0.02076671737449276,-0.06973125547106218,1.0488094420421061,85.98187911987304,86.53848670959472,False,False,False,False,-0.13492985474310026,False,11.5,,,,,,,,,,,20.858895705521473,0.0,no strong trend confirmations,WEAK / MIXED
IBM,234.88999938964844,0.013472943014629868,-0.16944605137345758,-0.07932716949828678,0.7581324893113527,240.2989535522461,258.9958293914795,False,False,False,False,-0.2814294734072791,False,9.9,,,,,,,,,,,19.631901840490798,0.0,no strong trend confirmations,WEAK / MIXED
COST,915.739990234375,-0.03519995081948446,-0.05625656614275065,-0.0797246316763125,1.1909118546263846,943.0097338867188,957.8960043334961,False,False,False,False,-0.1618576474293607,False,11.4,,,,,,,,,,,19.018404907975462,0.0,no strong trend confirmations,WEAK / MIXED
SRE,84.04000091552734,-0.003675134133984126,-0.07415662435412262,-0.07988031659968164,0.6179814418272662,88.77240020751952,90.21495491027832,False,False,False,False,-0.15147265098746643,False,8.9,,,,,,,,,,,18.404907975460123,0.0,no strong trend confirmations,WEAK / MIXED
BA,212.25,-0.08587795439830859,-0.014852620067620226,-0.08160616399352305,0.9404567440553646,219.4107992553711,220.24665016174316,False,False,False,False,-0.1582391229914707,False,9.8,,,,,,,,,,,17.177914110429448,0.0,no strong trend confirmations,WEAK / MIXED
HD,321.04998779296875,-0.07468559156914667,0.04065864343383452,-0.08353778452239957,0.6093633352468582,336.7335186767578,338.6395361328125,False,False,False,False,-0.2202972977279659,False,8.0,,,,,,,,,,,15.950920245398773,0.0,no strong trend confirmations,WEAK / MIXED
DOW,29.440000534057617,-0.01710744526333907,-0.1232957702351174,-0.09601926191550192,1.1721284167722692,29.694099884033204,30.802643213272095,False,False,False,False,-0.2814788956430685,False,10.1,,,,,,,,,,,15.337423312883436,0.0,no strong trend confirmations,WEAK / MIXED
RGTI,15.199999809265137,-0.08045981985075601,-0.26499034888984563,-0.10640801853391157,0.6354607331221734,16.428700103759766,19.29105001449585,False,False,False,False,-0.7302094467856165,False,7.3,,,,,,,,,,,13.496932515337424,0.0,no strong trend confirmations,WEAK / MIXED
PEP,137.6300048828125,0.004769461189574775,-0.01986827794312429,-0.1183354673470487,0.9446285398180726,138.19944122314453,145.5818529510498,False,False,False,False,-0.1681647697252746,False,8.1,,,,,,,,,,,12.269938650306749,0.0,no strong trend confirmations,WEAK / MIXED
BABA,113.23999786376953,-0.10701048778550815,-0.05600535515250582,-0.12623297953128587,0.5584137505090003,116.16639984130859,134.53559856414796,False,False,False,False,-0.3964297411209139,False,6.3,,,,,,,,,,,11.65644171779141,0.0,no strong trend confirmations,WEAK / MIXED
WMT,107.13999938964844,-0.041701682328093015,-0.09659744123772684,-0.1290608089104247,0.7372906422253627,110.6732942199707,118.14565822601318,False,False,False,False,-0.19972803508942294,False,6.8,,,,,,,,,,,11.042944785276074,0.0,no strong trend confirmations,WEAK / MIXED
CCI,75.83000183105469,0.012146338552455838,-0.18811668645214918,-0.14106265948672492,1.046750605285665,76.4086001586914,83.54562126159668,False,False,False,False,-0.20509589452154464,False,7.8,,,,,,,,,,,10.429447852760736,0.0,no strong trend confirmations,WEAK / MIXED
BIDU,99.47000122070312,-0.09018568046480058,-0.18239357038846826,-0.16446872179030647,0.7995763751502408,105.56000030517578,122.71660003662109,False,False,False,False,-0.38795226060944454,False,6.2,,,,,,,,,,,8.588957055214724,0.0,no strong trend confirmations,WEAK / MIXED
SOUN,6.739999771118164,-0.048022620939509264,-0.08795671273490113,-0.16480792738555672,0.7693483727892312,6.745499954223633,8.339750001430511,False,False,False,False,-0.6850467340531168,False,5.9,,,,,,,,,,,7.975460122699387,0.0,no strong trend confirmations,WEAK / MIXED
LOW,204.4499969482422,-0.06387361418542026,-0.02385156532818522,-0.17939978408988533,0.7943821617003515,212.88713012695314,234.137547454834,False,False,False,False,-0.28076489681514327,False,5.5,,,,,,,,,,,6.748466257668712,0.0,no strong trend confirmations,WEAK / MIXED
PDD,82.20999908447266,-0.09510181105957383,-0.033619379576952935,-0.19378250367440975,0.6974776882217938,85.60759963989258,98.0492499923706,False,False,False,False,-0.4048360517020293,False,4.9,,,,,,,,,,,6.134969325153374,0.0,no strong trend confirmations,WEAK / MIXED
MCD,255.69000244140625,-0.06788021891734397,-0.07980479905775661,-0.2097363775744322,0.9981026645600953,267.71578002929687,291.8437274169922,False,False,False,False,-0.23561213842577944,False,5.5,,,,,,,,,,,4.294478527607362,0.0,no strong trend confirmations,WEAK / MIXED
ISRG,366.70001220703125,-0.01875780527235249,-0.13116615095434858,-0.25187691882788743,0.9038362993651042,381.01419921875,463.8076995849609,False,False,False,False,-0.3814623811958382,False,4.7,,,,,,,,,,,3.067484662576687,0.0,no strong trend confirmations,WEAK / MIXED
NOC,514.97998046875,-0.08880455485840366,-0.049739004138722676,-0.3128180202027836,1.395836361827961,541.5358074951172,597.6890550231933,False,False,False,False,-0.32345653432795174,False,6.4,,,,,,,,,,,2.4539877300613497,0.0,no strong trend confirmations,WEAK / MIXED
NKE,38.400001525878906,-0.07601547536141928,-0.09708348510761311,-0.31319766213762235,0.739836286136243,41.10295166015625,50.404364128112796,False,False,False,False,-0.4680686239789086,False,3.6,,,,,,,,,,,1.8404907975460123,0.0,no strong trend confirmations,WEAK / MIXED
RBLX,43.310001373291016,0.20172031834304116,0.03562892609612334,-0.3182747960731135,0.8554354723081339,45.308599700927736,59.910100021362304,False,False,False,False,-0.6940519771105225,False,3.9,,,,,,,,,,,1.2269938650306749,0.0,no strong trend confirmations,WEAK / MIXED
